# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
11200 296920 305406 140790 489823 457434 201890 -72904 82407.6 94402.7 -5133.21 3892.49 85601.7 -98439.6 2938.92 -7342.38 -3692.24 -1679.41 -1401.47 -15187.5 122.688 91855.3
11300 296960 305490 140808 489648 457115 201699 -72918.6 82382.1 94571.5 -4480.55 3838.25 85656.4 -98785.7 2400.57 -7216.63 -3732.65 -1619.43 -1407.6 -14818.3 -156.92 91566.4
11400 296662 305237 140835 489370 456404 201628 -72562.5 82394.4 94410.7 -4507.6 3693.46 85710.1 -98798.5 2271.39 -7033.08 -3775.27 -1720.95 -1400.09 -14644 -687.201 91211.2
11500 296618 305131 140575 488930 455889 201416 -72477.1 82317.2 94378.9 -4568.3 3535.68 85696.4 -98885.4 2223.69 -6877.72 -3776.89 -1787.26 -1415.11 -14479.7 -761.538 91048.4
11600 296831 305074 140627 488081 455632 201027 -72548.7 82377.1 94473.6 -4362.26 3519.53 85643.8 -99093.2 2101.42 -6969.09 -3794.93 -1708.53 -1428.8 -14609.8 -610.425 90712
11700 296730 304915 140667 487341 454712 200578 -72352.4 82406.2 94415.1 -4164.78 3583.93 85691 -99262.4 2060.23 -7097.86 -3879.11 -1682.7 -1465.75 -14826.9 -619.394 90217.4
11800 296974 305032 140703 487001 454769 200283 -72461.9 82404.5 94601.8 -4180.22 3625.01 85768.8 -99569.4 2091.14 -7132.04 -4020.69 -1653.68 -1459.65 -14898.6 -574.636 89898.5
11900 296882 304955 140701 487016 454689 200343 -72388.5 82386.9 94601.7 -3831.81 3752.52 85758.9 -99543.9 1863.5 -7191.82 -4048.17 -1635.14 -1398.11 -14871 -729.713 89988.9
12000 296620 304863 140728 487330 454340 200499 -72190.4 82383.1 94471.5 -3830.92 3864.27 85785.9 -99483.5 1807.45 -7462.18 -4079.1 -1647.95 -1450.52 -15521.5 -790.12 89872.3
12100 296681 304816 140770 487009 454659 200567 -72176.8 82427.2 94378.3 -3934.64 3850.42 85767.4 -99324.8 1945.54 -7534.19 -4064.15 -1570.09 -1475.86 -15694 -608.903 89986.5
12200 296451 304725 140769 487086 453884 200466 -72018.6 82394.8 94597.1 -3571.6 3830.33 85797.4 -99675.3 1516.53 -7441.78 -4121.19 -1597.06 -1453.58 -15505.2 -1021.7 89547.8
12300 296383 305003 140810 487421 453027 200147 -72098.8 82285.2 95075.1 -3532.69 3759.5 85947.7 -100573 1388.18 -7367.21 -4374.48 -1660.57 -1429 -15304.9 -1177.85 88802.3
12400 296330 304943 140866 486951 452300 199802 -72017.8 82246.6 95216.5 -3666.98 3781.87 86023.9 -100846 1534.81 -7372.99 -4533.17 -1618.23 -1409.25 -15269.5 -1052.44 88322.4
12500 296114 304797 140903 486704 451636 199654 -71795.3 82220.9 95280.4 -3654.52 3692.16 86097.4 -101068 1466.24 -7296.04 -4611.04 -1667.59 -1434.43 -15309.8 -1323.23 87971.6
12600 296033 304522 140935 485786 451417 199399 -71562 82313.1 94985 -4044.5 3594.07 86071.1 -100756 1751.62 -7173.76 -4579.39 -1743.49 -1431.14 -15304.8 -1285.91 87821.6
12700 295600 304218 140940 485330 450314 199286 -71180.5 82279.8 94743 -4327.61 3418.39 86106.5 -100497 1820.06 -6957.77 -4511.13 -1831.69 -1410.25 -15162.1 -1713.4 87640.5
12800 295657 304267 140961 485276 450218 199284 -71169.3 82291.4 94709.6 -4216.16 3193.7 86128.2 -100485 1680.79 -6706.31 -4515.52 -1880.28 -1384.91 -14926.3 -2110.09 87651.8
12900 296034 304273 140814 485068 450731 199202 -71451 82296.5 94738 -4417.72 3194.15 85898.7 -100986 1862.13 -6789.06 -4789.7 -1961.71 -1446.5 -15306.8 -2151.2 87369.8
13000 296330 304591 140812 485564 450952 199307 -71747.2 82248.8 95081.4 -4586.08 3128.79 85951.8 -101470 1911.52 -6736.2 -4888.12 -2020.29 -1442.85 -15254.8 -2290.73 87126.4
13100 296534 304921 140827 486263 451361 199535 -72010.3 82193.4 95060.2 -4356.95 3128.74 85998.8 -101443 1745.59 -6763.1 -4849.77 -2029.16 -1459.84 -15236.8 -2360.81 87359.1
13200 296645 305020 140834 486839 451422 199672 -72067 82150.2 95158.7 -4383.25 3191.02 86049.8 -101425 1774.1 -6818.72 -4879.43 -1988.7 -1428.39 -15367.3 -2470.4 87541.1
