# Dipole correlation
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_dipole_x*v_dipole_x v_dipole_x*v_dipole_y v_dipole_x*v_dipole_z v_dipole_y*v_dipole_y v_dipole_y*v_dipole_z v_dipole_z*v_dipole_z
10000 10
8 70 144 3.18812e-07 9.24694e-07 -2.51011e-06 -1.71477e-06 8.01207e-06 -2.63576e-05
9 80 143 3.15391e-06 -8.92074e-07 -5.29088e-06 1.13743e-06 2.01277e-06 -6.93992e-05
10 90 142 7.1338e-07 -1.27075e-06 -6.28532e-06 6.78839e-07 -3.46069e-06 7.55781e-05
11600 10
1 0 161 1.09377e-05 -1.71225e-06 -2.31504e-05 2.78028e-05 -1.33427e-05 0.000896382
2 10 160 1.0139e-06 -1.56032e-06 -1.11693e-05 -3.34362e-06 2.07591e-05 -0.000213643
3 20 159 1.64871e-06 3.69342e-08 -5.98151e-06 2.12471e-06 -6.85649e-06 -6.18028e-05
4 30 158 -1.06186e-06 4.61795e-07 5.09154e-06 1.51004e-07 -2.2699e-05 -9.43812e-05
5 40 157 -2.49776e-06 6.17255e-07 1.31746e-05 -3.4586e-06 1.98785e-05 -8.82681e-05
6 50 156 -1.75363e-06 1.84083e-06 5.70155e-06 -5.32133e-07 -1.55503e-05 0.000124109
7 60 155 1.62174e-06 -1.1993e-06 -5.97132e-06 -1.17267e-06 1.71117e-05 -5.1269e-05
8 70 154 5.95502e-07 1.42922e-06 -3.55477e-06 -7.57388e-07 6.9508e-06 -3.55115e-05
9 80 153 2.84053e-06 -1.49631e-06 -5.99753e-06 -2.21196e-07 4.66642e-06 -2.52228e-05
10 90 152 7.41116e-07 -1.24122e-06 -8.28902e-06 1.31812e-06 -6.05848e-06 7.5781e-05
11700 10
1 0 171 1.03866e-05 -1.47385e-06 -2.2613e-05 2.67932e-05 -1.18247e-05 0.000888541
2 10 170 9.64367e-07 -1.45653e-06 -1.0922e-05 -3.19725e-06 1.92174e-05 -0.000191774
3 20 169 1.55076e-06 1.17305e-07 -5.32631e-06 1.99426e-06 -8.31278e-06 -6.7102e-05
4 30 168 -1.00409e-06 4.35673e-07 4.82211e-06 6.11163e-08 -2.26147e-05 -0.000106444
5 40 167 -2.2991e-06 6.79369e-07 1.34092e-05 -2.8346e-06 2.21703e-05 -9.11684e-05
6 50 166 -1.73651e-06 1.50567e-06 4.90091e-06 -1.31799e-06 -1.51172e-05 0.000102189
7 60 165 1.55825e-06 -1.053e-06 -5.4841e-06 -1.07531e-06 1.63613e-05 -4.24651e-05
8 70 164 5.20975e-07 1.23449e-06 -4.05036e-06 -1.03639e-06 5.23617e-06 -1.05611e-05
9 80 163 2.71216e-06 -1.23055e-06 -4.30564e-06 -1.18738e-07 8.07192e-06 -9.72619e-06
10 90 162 7.54519e-07 -7.74055e-07 -8.2125e-06 2.02447e-06 -7.76647e-06 6.8527e-05
11800 10
1 0 181 9.94951e-06 -9.58071e-07 -2.21267e-05 2.69217e-05 -1.27671e-05 0.000893378
2 10 180 9.37438e-07 -1.35491e-06 -9.64354e-06 -3.12982e-06 2.12673e-05 -0.00020983
3 20 179 1.5071e-06 2.52567e-07 -6.2222e-06 2.45494e-06 -1.29957e-05 -6.91033e-05
4 30 178 -9.42258e-07 5.05029e-07 4.73925e-06 2.67414e-07 -2.04124e-05 -9.78763e-05
5 40 177 -2.18904e-06 6.30762e-07 1.24277e-05 -2.78018e-06 1.9128e-05 -7.06498e-05
6 50 176 -1.65729e-06 1.40338e-06 4.34259e-06 -1.00952e-06 -1.33349e-05 8.22558e-05
7 60 175 1.45395e-06 -9.86111e-07 -5.41595e-06 -1.0948e-06 1.5768e-05 -2.15038e-05
8 70 174 5.06811e-07 1.24361e-06 -3.99735e-06 -9.30128e-07 3.14508e-06 -3.58922e-05
9 80 173 2.58916e-06 -1.05418e-06 -3.17398e-06 1.645e-07 7.88836e-06 -2.86585e-06
10 90 172 7.21952e-07 -7.67288e-07 -7.93799e-06 1.72517e-06 -6.00837e-06 5.5216e-05
11900 10
1 0 191 9.60109e-06 -9.65257e-07 -2.2019e-05 2.56959e-05 -1.22557e-05 0.000896846
2 10 190 8.62585e-07 -1.37681e-06 -8.65706e-06 -2.94866e-06 2.12281e-05 -0.000205234
3 20 189 1.3761e-06 3.01448e-07 -6.71732e-06 2.43585e-06 -1.11751e-05 -6.17328e-05
4 30 188 -8.29803e-07 4.0676e-07 4.05851e-06 1.7603e-07 -1.88346e-05 -9.34173e-05
5 40 187 -2.0057e-06 5.72617e-07 1.2049e-05 -2.37445e-06 1.57787e-05 -5.95607e-05
6 50 186 -1.70628e-06 1.33102e-06 5.34657e-06 -1.01319e-06 -7.44977e-06 5.9558e-05
7 60 185 1.37373e-06 -8.36029e-07 -6.57863e-06 -7.23437e-07 1.27042e-05 -2.25596e-05
8 70 184 4.94391e-07 1.13063e-06 -2.01553e-06 -9.63194e-07 6.38826e-06 -4.5506e-05
9 80 183 2.38134e-06 -9.25113e-07 -1.78988e-06 4.55659e-07 9.69935e-06 -5.72594e-06
