# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
151 -29613.3 -24734.2 1090.37 -4620.16 13572.8 4.28981
152 -28247.3 -24140.4 4731.09 -3871.28 14035.9 -119.382
153 -27012.2 -24148.1 8499.3 -2367.74 14453 -287.766
154 -26088.8 -24121.3 11438.2 -1239.61 14836.3 -403.514
155 -25711.9 -23896.9 13076.6 -959.842 15137.1 -439.148
156 -26077.8 -23749 13485.1 -1190.97 15409.8 -530.493
157 -27181.2 -23834.5 12874.2 -1624.1 15707.1 -789.9
158 -28919.5 -24123.7 11338.6 -1924.23 15938.9 -1460.41
159 -29826.5 -23983.8 9745.14 -1771.82 15984.6 -2641.2
160 -28914.3 -23165.8 8623.95 -996.744 15881.8 -4273.51
161 -26494.9 -21886.5 8041.54 122.516 15817.1 -6153.69
162 -23414.7 -20373.5 7644.48 1256.56 15563 -8251.2
163 -21005.1 -18491.2 7301.98 2486.13 14630 -10797.4
164 -19966 -16513.9 6746.98 3879.31 12866 -13880.4
165 -19565.7 -14785.3 6183.49 5125.3 10796.9 -16499
166 -18543.2 -13759.3 5885.91 5688.86 9206.79 -17317.4
167 -16792.1 -13828.1 5002 5139.29 8519.85 -16334.1
168 -14643.4 -14772.2 3189.93 3072.18 8402.73 -14113.6
169 -12561.8 -15945.9 786.161 -833.371 8322.79 -11233.1
170 -10947 -17240.6 -1401.98 -5365.98 8277.71 -8367.02
171 -10136.4 -18765.3 -2796.84 -9058.63 8296.73 -6160.7
172 -10142.1 -20418.4 -3650.49 -11472.6 8198.54 -4823.91
173 -10842.5 -22404.3 -4214.97 -12616.8 7655.42 -3878.83
174 -12246.8 -24798.9 -4831.49 -12854.7 6915.68 -2934.92
175 -14322.5 -27440.9 -5368.25 -12237.4 6236.47 -2177.43
176 -16945.4 -30126.4 -5779.06 -10471.4 5432.56 -1814.33
177 -19824.2 -32533.8 -5851.52 -7341.72 4087.87 -1799.38
178 -22793.2 -33944.4 -5789.84 -3039.05 1855.68 -1932.55
179 -25752.9 -33555.4 -5748.9 1848.74 -1348.94 -2508.1
180 -28563.3 -31382.7 -5552.26 6599.51 -4716.35 -4074.19
181 -30724.7 -28616 -4878.96 10386.3 -7144.35 -5995.5
182 -31822.6 -27062.8 -3658.36 12647.6 -8151.47 -6833.7
183 -32028.1 -27280.3 -2360.72 13444 -7962.93 -6261.37
184 -31857.9 -28715.9 -1565.13 12739.1 -7415.97 -4581.55
185 -31595.4 -30471.6 -1466.2 10315.3 -7071.73 -2058.58
186 -30928.8 -31504.3 -1715.26 6681.69 -6693 865.399
187 -29751.8 -31530.1 -1926.45 3508.68 -5950.08 3490.33
188 -27798.8 -31051.1 -1868.31 2332.23 -4678.16 5406.05
189 -25043.8 -30656.2 -1357.43 3519.55 -2991.45 6693.38
190 -21570.5 -30190.6 -558.848 6076.47 -1230.77 7523.53
191 -17836.1 -29344.2 662.282 8576.21 393.305 7980.01
192 -14431.3 -28120.4 2121.14 10096.5 1556.39 7966.09
193 -11493.8 -26709.1 3543.91 10572.8 2193.4 7446.34
194 -9094.56 -25415.5 4744.23 10237.9 2436.17 6579.96
195 -7116.07 -24507.5 5868.39 9451.89 2385.48 5527.02
196 -5522.86 -24167.1 7375.45 8569.9 2286.66 4319.44
197 -4273.52 -24094.5 10042.5 7992.84 2356.25 2885.06
198 -2847.01 -23286.3 14519.1 7612.26 2773.63 1007.37
199 -361.075 -20963.2 20903.2 7145.54 3162.48 -936.127
200 2707.98 -18004.2 27538.9 6225.89 3039.5 -2215.68
201 4967.75 -16459.6 31790.6 4310.47 2637.36 -1836.91
202 6263.18 -16103.8 33312.8 1750.73 2143.18 -101.027
203 7118.83 -13766 34472.9 -423.008 1266.61 454.314
204 7855.08 -9793.84 35801.6 -1635.38 -434.813 -7.58574
205 8602.28 -5460.75 37269.6 -1746.58 -2916.5 -729.038
206 9019.76 -1657.54 38386.3 -766.726 -5557.02 -1239.73
207 8635.26 1097.21 38504.3 1074.3 -7663.26 -1322.97
208 7514.99 2867.22 37180.5 3404.9 -8978.02 -938.984
