# Time-averaged data for fix myRDF
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
100 100
51 5.05 1.01544 50.1811
52 5.15 1.0806 53.4526
53 5.25 1.05018 56.7566
54 5.35 1.04275 60.1634
55 5.45 0.973166 63.4629
56 5.55 0.938755 66.7634
57 5.65 0.94892 70.2211
58 5.75 0.983441 73.9326
59 5.85 0.964721 77.7011
60 5.95 0.918033 81.4109
61 6.05 0.98502 85.5263
62 6.15 0.963165 89.6846
63 6.25 1.0067 94.1731
64 6.35 0.952134 98.5554
65 6.45 0.995523 103.283
66 6.55 0.959521 107.982
67 6.65 0.989852 112.978
68 6.75 0.996133 118.159
69 6.85 1.03883 123.723
70 6.95 1.03134 129.409
71 7.05 0.984489 134.994
72 7.15 1.01 140.888
73 7.25 1.01491 146.977
74 7.35 0.998886 153.137
75 7.45 1.01399 159.561
76 7.55 1.03264 166.279
77 7.65 0.998224 172.947
78 7.75 1.03162 180.02
79 7.85 1.03412 187.294
80 7.95 1.00033 194.51
81 8.05 1.00314 201.93
82 8.15 1.00718 209.566
83 8.25 0.99914 217.329
84 8.35 1.02094 225.454
85 8.45 1.00021 233.606
86 8.55 1.00498 241.991
87 8.65 0.991793 250.462
88 8.75 1.00389 259.235
89 8.85 1.01955 268.35
90 8.95 1.00191 277.51
91 9.05 1.00145 286.873
92 9.15 0.985382 296.289
93 9.25 1.00152 306.07
94 9.35 0.997778 316.027
95 9.45 0.982569 326.042
96 9.55 0.975465 336.197
97 9.65 0.980297 346.617
98 9.75 0.999219 357.459
99 9.85 0.993424 368.461
100 9.95 1.0209 379.998
700 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0.237667 0.0297143
12 1.15 3.43655 0.545143
13 1.25 0.46448 0.627429
14 1.35 0.0414688 0.636
15 1.45 0.100684 0.66
16 1.55 1.45167 1.05543
17 1.65 2.11994 1.70971
18 1.75 1.02705 2.06629
19 1.85 1.134 2.50629
20 1.95 1.39863 3.10914
21 2.05 0.542203 3.36743
22 2.15 0.242105 3.49429
23 2.25 0.412247 3.73086
24 2.35 0.617112 4.11714
25 2.45 0.691185 4.58743
