# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
35300 0.272348 0.325493 0.34514 0.942981 623.436
35400 0.282377 0.357247 0.353003 0.992627 599.109
35500 0.294919 0.353637 0.369921 1.01848 591.174
35600 0.281975 0.352949 0.363378 0.998302 599.1
35700 0.298826 0.368386 0.354621 1.02183 602.209
35800 0.307985 0.390557 0.373681 1.07222 595.184
35900 0.291168 0.376084 0.375933 1.04318 605.599
36000 0.28193 0.339544 0.371435 0.99291 609.793
36100 0.257857 0.311578 0.33507 0.904505 600.419
36200 0.263765 0.292278 0.304898 0.860941 629.095
36300 0.279459 0.305782 0.308333 0.893574 646.948
36400 0.319155 0.320519 0.366368 1.00604 634.047
36500 0.330575 0.331845 0.390745 1.05317 596.242
36600 0.314039 0.336203 0.362968 1.01321 607.178
36700 0.292695 0.340457 0.354369 0.98752 629.309
36800 0.318373 0.330885 0.400694 1.04995 613.688
36900 0.321359 0.327598 0.437028 1.08598 631.846
37000 0.327389 0.32924 0.398189 1.05482 650.907
37100 0.333219 0.334354 0.39515 1.06272 625.245
37200 0.314786 0.312373 0.380453 1.00761 610.486
37300 0.300263 0.306331 0.388975 0.995569 606.426
37400 0.288047 0.334579 0.397611 1.02024 603.409
37500 0.281036 0.349575 0.37487 1.00548 625.797
37600 0.290772 0.335238 0.367085 0.993094 647.541
37700 0.274049 0.338723 0.357821 0.970592 639.203
37800 0.296371 0.369047 0.372379 1.0378 624.999
37900 0.31435 0.384489 0.378893 1.07773 620.538
38000 0.335096 0.398309 0.382575 1.11598 615.211
38100 0.36013 0.412336 0.378096 1.15056 631.656
38200 0.384508 0.458909 0.39297 1.23639 647.367
38300 0.385225 0.458671 0.423424 1.26732 642.514
38400 0.377631 0.425599 0.426046 1.22928 644.233
38500 0.36953 0.457833 0.435618 1.26298 616.708
38600 0.355132 0.436832 0.431678 1.22364 622.749
38700 0.335704 0.394418 0.414942 1.14506 622.068
38800 0.321942 0.384279 0.431324 1.13755 675.515
38900 0.334129 0.37926 0.45085 1.16424 658.523
39000 0.343591 0.365552 0.413974 1.12312 646.397
39100 0.378426 0.382044 0.439801 1.20027 641.645
39200 0.377672 0.402718 0.436175 1.21656 614.289
39300 0.369272 0.407985 0.448612 1.22587 632.346
39400 0.414355 0.413892 0.451715 1.27996 630.512
39500 0.430615 0.435391 0.467462 1.33347 652.068
39600 0.464114 0.476716 0.487086 1.42792 649.361
39700 0.46631 0.484556 0.473571 1.42444 660.563
39800 0.459901 0.47552 0.464505 1.39993 634.106
39900 0.418485 0.470378 0.500518 1.38938 623.085
40000 0.414445 0.456648 0.506806 1.3779 635.302
40100 0.415373 0.439888 0.505376 1.36064 650.656
40200 0.404573 0.431977 0.496147 1.3327 654.661
40300 0.404641 0.422267 0.463905 1.29081 665.736
40400 0.387054 0.411202 0.423903 1.22216 678.335
40500 0.417168 0.424405 0.44056 1.28213 653.661
40600 0.424794 0.379059 0.432737 1.23659 631.701
