# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
11100 368507 367213 158654 573423 573268 239107 -105869 95695 127367 -3033.27 -2556.5 96230.8 -127452 617.298 4319.28 -590.214 -615.633 -166.856 6297.5 -998.555 130074
11200 368401 366958 158657 572374 572883 238959 -105662 95703.6 127230 -3304.92 -2506.37 96219.2 -127150 941.573 4186.43 -507.365 -653.102 -191.417 6063.18 -707.043 129980
11300 368829 366939 158696 571684 573873 238763 -105863 95757.4 127362 -3384.36 -2311.39 96147.2 -127223 1071.66 3866.97 -532.796 -656.18 -264.112 5234.56 -724.356 130151
11400 369229 367226 158770 571610 574485 238627 -106198 95792.9 127586 -2808 -2266.04 96150.6 -127430 662.805 3653.62 -519.435 -529.011 -351.114 4569.44 -886.96 130141
11500 369689 367131 158795 570630 574996 238363 -106316 95902.5 127375 -2621.08 -2194.02 96079.9 -126984 285.404 3458.94 -468.888 -567.422 -333.968 4220.62 -1474.03 130386
11600 369543 366900 158812 570712 574978 238841 -106004 95881 126948 -1880.45 -2104.46 96110.1 -125738 -313.169 3418.51 -108.689 -594.076 -326.26 3992.2 -2107.25 131286
11700 369384 366546 158862 570474 575353 239139 -105716 95980.6 126538 -1786.2 -2163.21 96046.9 -124714 -617.579 3420.27 278.606 -793.688 -442.425 3589.66 -2914.13 132056
11800 368676 366422 158880 570166 575213 239212 -105491 95968 126147 -1978.11 -2094.24 96054.3 -124049 -492.266 3213.93 468.81 -810.708 -491.945 3164.96 -2996.47 132293
11900 369195 366467 158891 569631 575782 239134 -105707 96025.1 126071 -1373.12 -1997.21 95995.4 -123796 -818.469 3172.1 501.766 -655.469 -444.515 3295.78 -2943.55 132626
12000 369542 366417 158958 569599 576359 239157 -105837 96035.6 126162 -628.06 -2018.06 96003.5 -123780 -1478.3 3114 508.383 -682.575 -434.46 3165.76 -3685.14 132931
12100 370053 366457 159013 569553 577013 239289 -105998 96168.2 126153 -318.22 -2202.07 95963.9 -123657 -1876.79 3308.4 567.682 -755.411 -429.855 3328.29 -4167.8 133181
12200 370479 366593 159031 569558 577418 239250 -106213 96148.5 126255 -682.42 -2228.64 95939.9 -123687 -1822.36 3332.93 591.062 -822.999 -436.476 3287.05 -4413.68 133255
12300 370510 366527 159049 569351 577443 239251 -106165 96151.2 126386 -501.804 -2050.69 95947.8 -123955 -1930.72 3096.72 544.463 -786.477 -463.371 2860.52 -4503.98 133190
12400 370541 366768 159082 569431 577439 239149 -106274 96120.1 126647 -177.434 -1902.28 96016.3 -124676 -1910.17 2841.25 266.743 -660.856 -521.738 2337.16 -4163.69 132747
12500 370656 367010 159098 569103 576911 238774 -106381 96081.5 126960 240.273 -1722.93 96068.7 -125499 -2128.4 2619.29 8.63639 -576.106 -518.561 1965.44 -4315.97 132106
12600 370833 367331 159159 569293 576373 238560 -106553 96051.9 127348 -461.202 -2025.32 96141.3 -126511 -1902.06 3098.23 -235.078 -778.257 -443.269 2511.86 -4795.28 131485
12700 371105 367437 159192 568748 575881 238059 -106687 96049.2 127610 -1127.24 -2159.85 96191.7 -127107 -1536 3153.37 -431.504 -869.558 -450.877 2551.27 -4769.95 130852
12800 370920 367384 159199 569265 575464 237679 -106962 95924.5 127968 -1687.21 -2465.15 96265.5 -127845 -1186.4 3012.42 -688.406 -962.651 -445.335 2823.87 -4900.55 130137
12900 371246 367582 159216 568876 575369 237330 -107168 95965.1 128160 -1477.63 -2661.27 96226.7 -128307 -1335.93 3361.03 -754.157 -980.005 -349.016 3712.56 -4923.86 129776
