# Time-averaged data for fix avvir
# TimeStep c_vir[1] c_vir[2] c_vir[3] c_vir[4] c_vir[5] c_vir[6]
312 4122.37 6268.78 11455.1 -10494.9 -7344.12 11604.4
313 4055.44 6699.41 12506.9 -8440.89 -5106.5 15439.4
314 4608.3 4800.39 13136 -5625.26 -2294.92 12196.8
315 6389.74 1822.87 14117.9 -3121.5 -1891.86 5564.76
316 10780.5 -1142.99 16378.5 -1959.59 -6747.28 1498.9
317 16127.7 -2638.86 19273.5 -1317.05 -13880.7 1050.98
318 17072.6 -1372.73 20387.9 -289.432 -15711.7 1394.88
319 10844.3 2893.87 18639.5 1358.81 -8229.43 1210.32
320 1667.6 8356.52 15739.9 2883.02 3719.82 1020.86
321 -4471.61 12424.3 13885.8 2530.36 10107 896.313
322 -7369.6 14463.2 13041.8 -753.219 8020.56 -621.04
323 -9027.99 14941.7 12585.9 -5597.38 734.216 -3217.22
324 -9692.16 13794.6 12133.5 -9207.05 -7588.58 -3953.77
325 -9406.78 11533.4 11650.9 -10057.5 -13642.8 -2170.42
326 -8546.09 9415.05 11253.5 -8665.71 -15678.9 110.139
327 -6983.27 7640.88 11271.7 -6157.62 -13849.6 1285.91
328 -4497.78 5620.89 11518.4 -3082.61 -9734.44 1851.42
329 -1188.41 2764.7 11853.4 296.548 -5267.39 2574.23
330 2458.72 -398.661 12206.8 3489.55 -1477.94 2969.38
331 5969.4 -3494.53 12460 5597.25 1826.75 1711.03
332 9211.02 -6360.14 12930.5 6441.05 5991.13 -1245.64
333 12129.8 -8252.91 13774.9 7890.29 12610.2 -2936.8
334 14734.8 -8050.69 15511.1 12002 21777.2 -213.388
335 16378.5 -6275.41 17200.9 16288.8 29502.2 4033.28
336 16504.5 -3989.2 17958 17964.7 32752.7 5584.95
337 15581.8 -1613.45 17794.1 17006.9 31996.8 2794.87
338 13788.8 1811.12 17478.3 15819.9 28017.7 -3063.43
339 10037.3 6431.75 16852.7 15835.7 20224.5 -8673.26
340 4553.01 10730.5 15174.9 14910.7 7669.5 -12933.2
341 -43.9342 12688.8 12888.1 12227 -5618.01 -14683.2
342 -1612.46 11732.4 10708.8 9264.51 -14646.7 -13992.5
343 -702.648 9509.96 9263.64 7411.99 -18297.2 -12131.4
344 1470.35 7299.77 8621.21 6786.54 -17303.5 -9041.53
345 4372.82 5316.18 8778.84 6986.73 -12749.1 -3637.18
346 7335.52 3727.2 9377.43 7440.56 -6707.28 3197.43
347 9272.33 2893.32 9786.65 7467.02 -1597.14 7189.01
348 9713.62 3385.66 9899.63 7106.38 1892.25 4939.18
349 9568.03 4750.41 10178 7139.93 4673.05 -3010.06
350 9545.91 7149.6 11136.5 7368.96 6299.55 -12497.4
351 9528.39 10931 13466.2 3697.82 2761.69 -13563.4
352 10779.3 15438.5 17756.5 -6401.51 -6693.73 2502.73
353 13887.6 15966 20823.8 -11619.6 -8629.89 22111.6
354 17647.1 9315.96 19259.7 -6996.71 433.52 27982.2
355 22157.5 -1344.67 14634.6 938.584 9829.9 16597.4
356 27316.6 -9749.73 11442.7 -66.4679 5652.84 5000.54
357 29742.4 -12846.5 10123.2 -6569.37 -5172.8 660.295
358 25870.6 -10843.1 9217.06 -9809.76 -9565.43 509.686
359 17779.3 -6256.27 8234.95 -8748.42 -7412.58 1669.91
360 10388.7 -1658.03 7671.69 -5305.02 -5064.13 2281.55
361 5111.05 3424.35 8032.93 -723.216 -5582.4 -160.339
362 1609.62 9449.43 9575.42 3505.84 -6289.77 -5249.83
363 50.5637 13850.7 11903.7 4574.55 -2497.11 -8589.25
364 836.336 15201.1 14234.7 2370.59 5171.41 -6918.02
365 3453.59 13437 15516.2 -413.347 10428.1 -1033.31
366 6360.04 9832.63 14891.2 -1755.34 8791.37 4995.48
367 8286.33 5543.25 12995 -2557.13 2703.5 8799.84
368 8072.34 2683.68 11246.7 -3991.56 -2774.95 8952.56
369 5613.94 2361.82 10205.3 -5595.67 -4902.71 6167.14
370 2550.23 3436.41 9931.22 -7010.34 -4655.23 2911.11
371 1057.53 4008.54 10121.9 -8540.16 -4958.07 863.395
372 2746.98 2750.05 10798.2 -10609.5 -7995.25 573.66
373 7841.93 -169.889 12098.2 -12649.4 -14525.3 1947.48
374 14100 -2694.05 14128 -11994.8 -21195.8 5124.87
375 18566.7 -2940.83 16376.4 -6606.93 -22674.5 11174.3
376 20317.1 -2187.81 18044 1406.76 -18495.7 19956.2
377 20058 -1541.35 18924.6 8592.22 -12376.8 27868.9
378 17467.3 -148.531 19234.9 13284.6 -7448 30072.9
379 12116.4 2346.81 18752.8 14856 -3947.7 25577.2
380 6750.9 3732.37 17146.1 11416.8 -3378.43 16332.8
381 2793.68 3497.07 14990.6 4071.4 -5294.25 4690.74
382 131.93 3969.58 13810 -2622.41 -6483.03 -7102.47
383 -1132.19 5570.51 13861.4 -6519.39 -6017.56 -17784.5
384 -464.242 7069.44 14155.3 -9160.57 -6761 -26928.2
385 1181.96 8126.57 13946.2 -11273.8 -9468.64 -33934.2
386 1859.6 9140.84 13350 -11948 -11543.1 -37228.6
387 1291.24 9502.85 12546.4 -10714.3 -11333.5 -35794.9
388 211.719 8819.4 11843.4 -7943.28 -7992.78 -29370.9
389 -134.341 7152.25 11523.1 -4937.51 -2441.52 -17622.5
390 2797.36 4859.7 12092.4 -2821.54 2102.88 -2217.19
391 8496.1 3969.02 14316.9 -849.43 2842.53 10255.4
392 11984.4 7308.61 17525.4 1134.53 -3817.53 13499.4
393 10487.7 12465.4 19471.4 1658.86 -16161.1 9692.27
394 6697.66 13823.1 18457.5 310.357 -25886.6 6830.53
395 5309.61 9578.4 15664.6 -596.582 -26826 7170.42
396 8602.49 2237.23 13440.9 833.821 -20623.6 7860.8
397 13753.5 -4606.8 12107.6 3511.42 -13680.5 7617.17
398 16926.6 -8614.28 11070.8 5973.97 -8594.37 6804.23
399 16294.5 -9438.91 9811.72 7253.19 -5198.86 5598.35
400 12691.5 -8232.94 8246.21 6472.03 -3930.06 3537.58
401 8327.48 -6318.65 6836.91 3639.06 -5090.52 297.444
402 4342.53 -4002.12 6008.83 -129.265 -6724.63 -3670.7
403 582.568 -237.129 5848.6 -3032.49 -5437.1 -6997.83
404 -2911.57 5884.14 6842.21 -3940.25 850.376 -8388.92
405 -5405.79 13114.6 8875.07 -3427.27 9866.44 -7842.97
406 -5789.27 17640.4 10583 -2964.21 14667 -6280.01
407 -4126.46 16291.7 10745.4 -2887.83 10938.2 -3889.93
408 -1579.37 11216 10067.9 -1826.31 2592.9 189.126
409 734.898 6201.64 9780.49 710.347 -3428.88 5239.06
410 2837.66 929.484 8870.22 2029.66 -5699.71 5789.66
411 5650.66 -5123.2 7053.24 636.895 -5081.62 20.8951
412 9525.04 -10464.4 5828.97 -1249.96 255.321 -5565.21
413 15831.4 -15115.3 6309.48 -2172.43 11639.9 -4706.26
414 21696.6 -17735 7651.85 -3867.97 21226.7 1724.34
415 18942 -14674.6 7652.92 -6550.72 17369.5 8941.08
416 8033.16 -6946.55 5993.45 -8154.87 3346.63 12280.2
