# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
29400 1.37235 1.40522 1.03733 3.8149 -36225.1 583.214
29500 1.40665 1.35009 1.08989 3.84663 -36230.1 593.095
29600 1.408 1.26589 1.13651 3.8104 -36239.2 600.689
29700 1.3585 1.25736 1.10694 3.7228 -36249.4 602.728
29800 1.34093 1.22712 1.07087 3.63892 -36244.9 592.136
29900 1.33589 1.22259 1.01444 3.57291 -36271.8 615.029
30000 1.30625 1.2094 0.931117 3.44677 -36243.1 583.239
30100 1.20304 1.22616 0.876578 3.30578 -36261.9 609.238
30200 1.12614 1.27373 0.849181 3.24905 -36257 598.294
30300 1.05091 1.28394 0.878836 3.21369 -36248 599.363
30400 1.0602 1.21151 0.917185 3.18889 -36252.2 605.21
30500 1.08639 1.16655 0.945452 3.1984 -36258.7 609.918
30600 1.14062 1.17173 0.936556 3.24891 -36247.6 599.201
30700 1.22758 1.18463 0.968787 3.38099 -36258.1 608.628
30800 1.26123 1.28979 1.02378 3.57481 -36245.4 598.578
30900 1.26647 1.30893 1.01913 3.59453 -36227.5 594.53
31000 1.33081 1.25896 0.965554 3.55532 -36250.1 616.685
31100 1.31048 1.15412 0.95598 3.42058 -36233.8 605.904
31200 1.2583 1.20117 0.980851 3.44032 -36238.4 611.798
31300 1.26203 1.21654 0.989462 3.46803 -36240.4 614.203
31400 1.24702 1.17962 0.984456 3.41109 -36238.7 614.077
31500 1.20392 1.16965 0.918083 3.29165 -36249.1 620.703
31600 1.19995 1.1807 0.862122 3.24278 -36244.2 610.547
31700 1.18094 1.25181 0.850984 3.28373 -36241 611.483
31800 1.23913 1.32359 0.855749 3.41847 -36244.6 617.44
31900 1.31945 1.32968 0.8814 3.53052 -36254.9 624.126
32000 1.38651 1.33667 0.925475 3.64865 -36233.6 607.803
32100 1.39471 1.33776 0.977565 3.71003 -36235 618.083
32200 1.3822 1.33986 1.01683 3.73889 -36233.9 616.319
32300 1.45914 1.37318 1.06915 3.90147 -36247.7 629.207
32400 1.60375 1.33793 1.12596 4.06763 -36240.1 621.078
32500 1.63349 1.32688 1.14991 4.11028 -36240.2 624.634
32600 1.6449 1.37207 1.14092 4.15789 -36224.8 615.773
32700 1.64896 1.39547 1.10709 4.15152 -36227.6 627.096
32800 1.6609 1.37354 1.04124 4.07568 -36240.5 634.034
32900 1.61731 1.38951 1.052 4.05881 -36243.6 635.132
33000 1.58013 1.38598 1.0287 3.99482 -36236.4 625.382
33100 1.60437 1.32256 0.974172 3.9011 -36236 627.242
33200 1.64246 1.23855 1.01016 3.89117 -36231 630.773
33300 1.64286 1.2714 1.01951 3.93376 -36224.9 623.894
33400 1.59348 1.33778 1.05055 3.98181 -36246.9 643.12
33500 1.5868 1.41461 1.09494 4.09635 -36234.7 629.512
33600 1.58213 1.45218 1.0468 4.08111 -36238.3 634.077
33700 1.61071 1.4511 1.03751 4.09932 -36243.8 638.622
33800 1.62384 1.45831 1.06124 4.14339 -36218.8 625.893
33900 1.61063 1.43945 1.07045 4.12053 -36211.9 625.858
34000 1.60125 1.43544 1.03917 4.07586 -36217.6 638.453
34100 1.61667 1.36421 0.966231 3.9471 -36204.8 633.117
34200 1.60218 1.35388 0.934179 3.89023 -36234.8 658.899
34300 1.56579 1.31079 1.00129 3.87787 -36220.4 637.823
34400 1.50346 1.29778 1.04025 3.8415 -36209.5 632.939
34500 1.44874 1.31293 1.02611 3.78778 -36226.1 648.677
34600 1.46722 1.33928 1.0311 3.83759 -36218.5 643.373
34700 1.44786 1.41647 1.02601 3.89034 -36211.4 637.371
34800 1.49802 1.42183 0.981946 3.90179 -36206.1 640.846
34900 1.47945 1.3837 0.926134 3.78929 -36215.3 651.066
35000 1.3993 1.38383 0.935704 3.71883 -36198.5 632.396
35100 1.31053 1.3717 0.918822 3.60106 -36204 648.639
35200 1.23326 1.35285 0.877572 3.46369 -36224.7 664.391
35300 1.27274 1.38507 0.877083 3.5349 -36216.7 652.263
35400 1.23941 1.33221 0.877975 3.4496 -36203.4 644.549
35500 1.16098 1.23893 0.885406 3.28532 -36217.3 658.195
35600 1.15198 1.24306 0.881681 3.27672 -36197 644.655
35700 1.19686 1.25874 0.880401 3.336 -36191.6 652.119
35800 1.21418 1.35773 0.869184 3.44109 -36192.8 658.715
35900 1.26367 1.41814 0.898587 3.5804 -36202.6 664.793
36000 1.31028 1.41164 0.919067 3.64099 -36207.2 662.655
36100 1.30984 1.45448 0.929572 3.69389 -36172.5 639.06
36200 1.32406 1.4792 0.89567 3.69893 -36194.5 666.049
36300 1.35593 1.52406 0.916475 3.79646 -36175.9 652.299
36400 1.42634 1.53177 0.952011 3.91012 -36179.5 658.871
36500 1.43213 1.50798 0.954491 3.89461 -36194.5 672.059
36600 1.49093 1.47709 0.947693 3.91571 -36182.4 657.463
36700 1.51107 1.47827 0.967228 3.95657 -36185.5 667.05
36800 1.45919 1.46393 1.00467 3.9278 -36179.8 660.355
36900 1.44725 1.44186 0.986024 3.87514 -36175 660.413
37000 1.45045 1.39941 0.975637 3.8255 -36175 666.944
37100 1.49628 1.38337 0.959037 3.83869 -36173.1 667.314
37200 1.56218 1.36007 0.970051 3.8923 -36171.3 671.673
37300 1.58745 1.45459 1.01618 4.05822 -36170 670.687
37400 1.60284 1.46704 0.996204 4.06609 -36177.1 679.268
37500 1.65251 1.48367 1.00342 4.13961 -36170.9 668.017
37600 1.58692 1.46942 1.01201 4.06835 -36165.8 668.773
37700 1.5099 1.45197 1.06095 4.02282 -36164.3 671.22
37800 1.42196 1.47076 1.061 3.95372 -36163.9 676.573
37900 1.40449 1.52071 1.02842 3.95362 -36176.3 684.974
38000 1.44174 1.508 0.973071 3.92281 -36179.3 683.755
38100 1.51292 1.46047 0.943187 3.91658 -36174 679.93
38200 1.53637 1.35253 0.962583 3.85149 -36168.7 676.289
38300 1.56616 1.33831 0.996245 3.90071 -36156.5 674.216
